root_id,root_type,description,Meaning
1170,S,er,measurement of
1172,S,ury,"of or relating to, having"
1173,R,"fer, fer(e)","strike, hit"
1177,P,im,"in, into, on, upon; bring to a certain state"
1178,R,"porch, port, port(un), port(une)","gate, entrance, harbor"
1181,R,"leg, leg(it), legis, loy","law, rule, legal right"
1182,R,"lett, liter","letters, writings"
1183,P,ir,not
1185,R,"ist, sist, stic, stit","be, stand, stand firm, stand still, erect, place"
1186,P,sup,"under, down, up from below"
3734,S,eat,let him
1188,P,por,"forth, forward"
1193,S,atory,place for
1195,R,"naiss, nasc, naive, nat, nat(e), nativ, natur","birth, nature, origin, a people, race "
3411,S,iatrist,one who heals
1198,R,"spec, speci","a sighting, kind, species"
1201,S,ise,"act of, pertaining to, that which"
1204,R,"prem, prim, prin, pristin","foremost, first, original, chief"
3641,R,cygn,swan
1205,R,sept,"rotten, putrefaction"
1206,P,ob,"to, toward, before, with, against, down, in the way"
1207,R,obliqu(e),"slanting, sideways"
1209,R,obscur,"covered, dark"
1210,P,of,"to, toward, against"
1211,R,"offend, offens","strike against, displease"
1213,R,"her, hes","stick, cling, hold"
1215,R,"the, them, thes, thesaur, thet, treasur","put, place, arrange; proposition; a store laid up, treasure"
1216,R,viol,violet
1217,P,di,"completely, thoroughly"
1218,R,"grav, grav(e), grief, griev","heavy, serious, burdened"
1219,P,ag,"to, toward"
3770,R,cremat(e),to burn
1221,R,"plur, plus, plus(s)",more
1222,S,ality,"pertaining to, state of, that which"
1223,R,"plut, pluto",wealth
1224,R,"ball, ble, blem, bol","throw, cast, dance, throw oneself around"
4289,S,uality,"a, that which"
1228,S,itude,"state or quality, pertaining to"
1229,R,"poss, pot, potent, pow, puiss","able to, capable, powerful"
1230,R,"par, pear, per","give birth, produce; come to sight, come forth, be visible"
1233,R,tasse,cup
1236,P,medi,middle
1239,R,ocr,jagged mountain
1240,S,ator,that which or one who
1242,S,ium,"state, quality, that which"
1243,R,stin,"stand, fixed"
1245,R,meticul,"timid, fearful"
1246,P,kilo,one thousand
1248,R,athl,"contest, contestant"
1249,S,"on, on(t)","state, quality, activity, pertaining to, act of, that which"
1250,R,"angl, angul","corner, angle"
1252,R,"se, sex, sext, siesta, sist","six, sixth"
1253,S,ant,that which or one who does something
1254,R,"nona, noon, novem","nine, ninth, ninety"
1255,R,noon,ninth
3546,S,ital,"like, quality of, pertaining to"
1258,R,"spond, spons, spont, spous","pledge, promise, reply, answer, willing"
1259,P,cor,"with, together"
1264,R,"onco, ph, pher, pher(n), phor, probr","bear, carry; a carrying, burden, mass, reproach"
1266,R,"quer, quest, quir, quisit, quist","seek, ask, examine, earn, strive for, win"
1268,P,ac,"more, extra"
1269,P,ar,"to, toward, at"
1270,R,rog,"ask, request, solicit"
1271,P,crastin,"of tomorrow, of the next day"
1273,R,"arm, arm(a)","arms, weapons"
1275,S,ior,more of
1278,S,ulous,"tending to, inclined to"
1279,R,genu,knee
1280,S,im,"this, that"
1281,R,"parl, parl(ia)",speech
1283,P,"par, para","beside, side by side, separately, beyond, contrary to"
1284,R,phras,"point out, show, explain; speech"
1286,R,far,parts
1287,R,felic,"happy, lucky"
1288,R,"fer, ferv","boil, glow, hot; yeast"
1290,P,per,"through, across, over, by means of, thoroughly, large amount"
3702,S,le,one who
1293,R,fili,son or daughter
1294,S,"ess, esse",state or quality
1297,S,acy,"quality, state or condition, that which; act of"
1298,R,"flu, fluor, flux","flow, stream"
1299,R,formid,"dread, fear"
1300,R,"found, fund, flound","bottom, depths, basis"
1301,S,er,"to, to do something, to be something"
1303,R,fraud,"trick, deceipt"
1304,S,ulent,"rich in, full of"
1307,R,funer,"funeral, burial"
1308,R,"fur, furi","rage, be mad"
1309,R,"ferret, fur, furt","theft, thief, little thief"
1310,R,"fork, furc",fork
3894,S,ifist,one who performs an action; one who believes in something
1315,R,"pecc, pecc(a)","stumble, sin"
1316,R,"vag, vag(a), vag(r), vagu","wander, roam"
1318,S,anza,that which does something
1327,R,"prais, prec, pric, priz","value, worth, price"
1354,P,as,"out of, from, without"
1331,R,"card, cart, carto, chart","sheet of paper, map, paper for writing"
1332,R,"priv, privat, privi","individual, without, not in public life, prevented from having"
3999,S,iol,"that which, quality of"
1336,R,"histor, stor","past events, historical narrative; inquire into, examine"
1339,R,ceremon,"religious rite, observance"
1341,S,ace,"state of,  resembling, that which"
1343,S,ador,one who takes action
1344,P,con,"strongly, thoroughly"
1345,R,tempt,"despise, slight, disdain"
3712,R,"hect, och, schem, sketch","form, shape, point in time, condition; state of mind"
1349,R,"ton, torn, tound, tun","thunder, sound like thunder"
1350,R,"scarlet, seal, sign, signa(t), signi","mark, seal, sign, signal, distiguishing feature"
1351,R,"press, prim, print","press, push, exert force against, bear down, crush"
1353,S,ick,"like, pertaining to"
1356,S,ival,that which is a place for
1357,R,"lab, leps, lemma","take, seize, hold, accept; something taken, premise"
1358,P,re,"thoroughly, completely"
1359,R,"scent, sens, sensi(t), sent, senti, senti(n)","feel, sense, think, perceive, notice, opinion, judgement"
3935,P,se,"without, apart, on one's own"
1363,R,qual,of what kind? in which state? of which sort?
1364,P,de,"completely, entirely, formally"
1365,R,"vast, wast, wastr","desolate, laid waste, forlorn, empty, huge, immense"
1366,R,"trib, tribun, tribut","assign, allot, give credit, pronounce judgement; division of the Roman people"
1367,R,"ceal, cell, col, cili, cult","hide, hidden, that which covers, hue, eyebrow, storeroom, chamber"
1368,S,at,make
1369,S,iency,"a condition, state, or quality"
1370,R,"test, testi","witness, proof, indicator, testimony, headstrong"
4286,S,eted,having a particular state or thing
1374,R,"measur, measur(e), mensur, mens, mens(e)","measure, traverse, estimate, ascertain dimension "
1375,R,"rai, ray, ry",make ready
4281,S,entical,"pertaining to, relating to, characterized by"
1377,S,ome,"mass, group, part of plant anatomy"
1379,S,sis,"a process, state or condition of"
1382,P,over,"too much, excessively"
1383,R,ploit,"fold, bend, twine, coil"
1384,P,com,"thoroughly, strongly, very"
1386,R,"grand, grand(i), grann","great, old, grown up, lofty, powerful"
1390,R,"med, medi, medic","heal, cure, physician"
1389,R,stem,"stand, fixed place"
1391,R,"estrang, exter, exter(n), extra, extra(n), extrem, extro, strang","beyond, outside; outward, end, edge"
1392,R,splend,"bright, shining"
1393,S,id,"of or relating to, condition, state"
1394,R,"dain, daint, deign, dign, dign(i)","worthy, deserving; to deem worthy, fitness, importance"
1399,R,vest,"clothing, dress, garments"
1400,R,"sur, sur(e)","untroubled, free from care"
1401,R,print,"to press, exert force against, crush"
1405,P,ribo,"ribose E, a pentose sugar"
1406,R,"soma, some","body, mass"
1407,R,osm,"thrust, push push"
1409,R,"pl, ple, plet, pleisto, pl(i), pl(y)","full, fill, fill up, most, finish"
1411,R,"jur, jur(e), jur(g), juris, just","to swear, law, equitable, right, correct, fair"
1413,R,"auster, auster(e)","harsh, rough, bitter"
3893,R,limpid,clear
1416,R,tenu,"thin, narrow"
1418,R,nupt,"marry, take a husband"
3701,S,alia,"condition of, act of, state of, that which relates or belongs to"
1422,R,"sembl, simul","pretend, copy, imitate, make like, appear same"
1439,P,a,"to, toward, at, in, on"
1424,R,langu,"be sluggish, wilt, lack vigor"
4270,R,"xanth, xantho",yellow
1426,S,or,"state of, quality of, activity of, result of, that which"
1427,R,"bat, batt","beat, pound, strike"
1428,R,"ecr, sacr, sacra, sacr(i), sacro, san, secr","sacred, holy"
4275,S,ata,that which
1430,R,"pair, par, peer, pir","equal, same, equal value"
1431,R,"noi, noy, nui, odi","hate, hatred, hateful"
1433,R,thrall,"bondman, serf, slave"
1435,R,latry,"worship, servitude"
1436,R,"gel, geal, gelat, jell","freeze, turn to ice; snow, cold"
1437,P,be,"to make, to treat or be affected in a certain way; to provide with; completely"
1438,R,guile,trick or ruse
1441,R,"les, lid(e), lis","harm, hurt, strike"
1442,S,ple,fold (a multiplier)
1446,R,"pter, pter(o), pteryx","wing, feather"
3589,S,enette,small place
1448,R,"us, us(u), util","use, make use of, employ, engage in, exploit, custom"
1450,R,"fatig, fatig(ue)","to weary, tire"
1451,R,"sol, solac, solat","comfort, mitigate, relieve"
1452,R,"lim(e), limin, limit","threshold, doorway, point at which something changes; boundary"
1453,R,"imbu, imbu(e)","to steep, soak, saturate"
1454,R,"mean, men, min","threaten, lead, guide, drive cattle (with shouts)"
4269,R,"stich, sticho","verse, line, row"
1457,R,palp,"stroke, caress, touch"
1459,R,"cap, capt, cept, chas, cip, cip(l)","take, seize, catch, accept, obtain, receive, grasp, learn, keep"
1460,R,"pen, penuri","almost, scarcely; lack, want"
1462,S,ice,"act or period of, one who"
1463,R,"peat, pet, pet(ul), pit","seek, desire, attack, strive, chase, aim at, beg, appease, encourage"
1464,S,ual,"of or relating to, for"
1467,R,"dam, daunt, diam, domit, dompt","tame, subdue"
1468,R,"solicit, souc","troubled, worried, attentive, anxious, vexed"
1469,S,ude,state or quality of
1470,R,melior,"better, to improve"
1471,R,"lign, line, lin","flax, thread, line, string, cord, net"
1472,R,"las, lass",weary
1473,R,palpit,"throb, quiver"
1476,R,"mant, mantl",cloak
1477,S,icious,acting like
1478,R,"cyro, cryst","ice, cold, crystal, freeze, transparent"
1479,R,gem,"gem, bud"
1484,S,al,"action, process"
1485,R,"paper, papyr",paper
1488,S,le,"little, small (diminutive)"
1490,S,ure,"shows actions or results, process of, that which"
1492,R,luct,"struggle, fight against"
1494,R,"ceas, se, sed, sed(i), sess, sid, sieg, siz","sit, settle, rest, stay still"
1495,R,"out(r), ult, ultim, ultra","last, farthest away, final, end, goes beyond"
1496,R,"hum, humb, humil","earth, ground, bury; low, lowly"
1498,R,"rig, rigi","to be stiff, be unyielding, numb, frozen"
1501,R,"troub, turb","uproar, commotion, confusion, crowd; whirlwind, whirl"
1502,R,"lic, lict, linqu","leave, abandon, forsake"
1503,R,"ton, tun","sound, tone, tension, stretching, pitch"
1504,R,vit,"shun, avoid"
1505,P,"su, sus","under, from below, at the foot of"
1506,R,"pen(ch), pend, pend(ul), pens, pent, pois, pond","hang, weigh, balance, consider, make up for"
1507,R,vulner,"wound, hurt, tear, damage"
1508,R,"liber, libr","balance, scales; to be balanced; to weigh; level, to make even"
1512,R,"caut, cav","beware of, take care"
1513,R,"pict, pict(o)","paint, embellish, portray, picture"
1515,R,"peculi, pecun","one's own goods, property, livestock, money"
1516,R,"anc, anc(e), en, enc, enc(e), i, ir, ish, issu(e), it, itin, unt","go, pass, journey"
1526,R,"agger, ger, gest, gest(icul), jest","bear, bring, carry, heap up, wear, perform, record"
1517,R,lent,"tenacious, clinging, sticky; slow; pliant"
1518,R,"coc, coct, cook, cuis, cuit, culin, kiln, kitch","cook, ripen; room for cooking, cooking stove"
1521,R,leth,"forgetfulness, drowsy, dull"
1522,R,arg,"without work, idle, inert"
1523,R,"eth, ethos","custom, habit, character, disposition"
1525,R,pto(m),"fall, droop, sag; corpse"
1529,R,"mark, merc, merch, mercuri","goods for sale, trade, traffic; Roman god of traders and thieves"
1530,R,miser,wretched
1531,R,"spas, spasm","draw, tear, rend, pull; tension, convulsion; involuntary contraction"
1532,R,"steg(o), tect, teg(e), til, tog","cover, shield, conceal, protect; roof"
1534,R,"matur, matur(e)","ripe, timely; ripen, hasten"
1535,R,"pract, pragmat","make, do, achieve; deed, act"
1537,R,"bar, barg(o), barr","rail, barrier, bar"
1540,R,"sider, sire","star, longing"
1542,R,"creas, creo, crud, cruel","bloody, raw, undigested, rough, flesh, raw meat, cruel"
1543,R,"vapid, vapor","steam, emit steam, exhalation, spoiled, flat"
1545,R,"foil, foli, foli(o)","leaf, sheet"
1551,S,age,"collective, a group"
1553,S,able,"deserving to be, worthy of, quality of"
1554,S,ize,"to, to be, to treat in a certain way"
1557,P,al,out
1558,R,"nul, null","no, none"
1560,R,"spair, sper","hope, favorable"
1561,R,bridg,short short short short
1564,R,"arachn, arachni",spider
3656,S,iality,"pertaining to, state of"
1566,R,"farm, firm, firm(a)","strong, stable, immovable"
1567,R,"naus, naut, nois(e)","ship, sailor, seasickness"
1568,R,agit,"hunt, drive forcefully, set in motion"
2991,R,custod,to guard
1572,R,"commod, mod, moder, mold ","measure, guide, restrain, method, manner, rhythm, suitable, useful"
1573,R,"origin, origin(e)","beginning, coming into being"
1575,R,"rad, radi, radio, ray","ray, staff, spoke of a wheel"
1576,S,us,"a, state, quality, pertaining to, that which, one who"
1577,R,reciproc,"moving back and forth, alternating"
1580,S,ea,"abnormal condition, quality of"
1581,R,"omen, omin","prophetic sign, augury"
1582,R,fam,hunger
1584,R,seren,"clear, tranquil, unruffled, calm"
1585,R,"chief, chiev, chiev(e)","head, summit, source, origin, leader, capital, uppermost"
4273,R,vet,forbid
1588,R,"mut, mut(e)","speechless, unable to speak, silent"
1589,R,neutr,neither
1590,R,"rud, rudi","coarse, unskilled, awkward, uncultured, untaught; rough, unformed"
1591,S,"ad, ade",person who
1594,S,acious,"inclined to, abounding in, tendency to be"
1595,S,"eat, eate",to make
1596,R,"plac, plea, plead, pleas ","please, satisfy; peace; calm, soothe"
1597,P,per,"away entirely, to destruction, to the bad"
1598,R,"dissipat, dissipat(e)","squander, scatter wastefully"
1599,R,vacillat(e),to waver
1600,R,"pass, pat, path, path(o), pathos","suffering, disease, feeling, passion"
1601,R,com,"a merry-making, revel, celebration"
3835,R,"coin, cune(i)",wedge
1606,R,merci,"price, reward, wage"
1609,R,"obliter, oblivi ",forget
1611,R,exil(e),enforced removal
1614,R,"sembl, simul","together, at the same time"
1615,P,en,"greatly, thoroughly, completely"
1616,R,sum,"take up, put on, ingest, get, use"
1617,R,sex,gender
1619,R,botan,"grass, fodder, plants"
1621,R,"heir, hered, herit","successor, one who receives goods via a will"
1623,R,"vault, volt, volub, volut, volv, volum","roll, wrap up, turn around, orbit, curve, bend, book"
1625,P,homo,same
1626,R,"scler, sclero, skelet","hard, still, dried up, withered"
1627,P,exo,outside of
1628,R,"class, classi","fleet, rank, grade, group"
1632,R,"onomat(o), onym",name name
1633,R,"text, til, tiss, tl, tl(e), toil ","weave, web, cloth, construct with care, compose"
1634,R,"ripa, riv, riv(e)","stream, source, riverbank, shore"
1635,R,"gloss, glott","the tongue, language"
1638,R,"term, termin","boundary marker, end, furthest point, limit"
1642,S,ing,"nature of, resembling, worthy of, state of, quality of"
1644,R,fascin,"a bewitching, charm"
1645,R,"rav(e), rever","to dream; wander here and there, prowl; behave madly, be crazy"
1647,R,bryo,"blossom, to swell, young one, to be full"
1648,S,"iz, ize",to speak or think in a certain way
1650,S,ant,"state of, quality of, condition, that which"
1652,S,ety,state or quality
1653,R,lop,run
1654,R,"postulat, postulat(e)","demand, request"
1655,R,"sol, soli, soli(t), sol(o), sull","one, only, alone"
3925,S,uce,that which
1659,R,"rod, rod(e), ros, rostr","gnaw, eat away, chew; beak, snout, prow"
2892,R,"rit, rit(e)",religious ceremony or usage
1665,R,"mos(a), mus, mus(e)","a Muse, fine art, music, song"
1667,R,"agor(a), egor, egyr, for, foren(s), for(r), hors","marketplace, public, outside, assembly"
1668,R,styl,"plant stem, instrument for writing"
1670,R,gladi,sword
1671,R,barbar,"foreign, non-Greek"
1674,S,ician,"practioner of, specialist in"
1678,R,area,open space
1679,R,"execut, sec, secut, segu, sequ, sic, su, suit","follow, pursue, carry out, alongside"
1680,R,"var, vari","diverse, different, numerous, changeable"
1681,R,congru,"to come together, agree, fit, suit, accord"
1682,R,"pierc, tus","beat, bruise, pulp, crush, bore through"
1684,R,scel,leg
1685,R,"coy, quiesc, quiet, quil, quit","rest, be still, quiet, calm"
4285,S,asse,state of
1688,R,"del, delet, deleter, dol, dol(e)","feel pain, grieve, suffer, destroy, wipe out, destroyer"
1689,R,"hor, horr","tremble, dread, shudder, bristle"
1690,R,epist,"letter, message"
1691,R,"hagio, hier, hiero, saint, sanct, sanct(u), sanct(i)",holy
1692,S,monious,"of or resemblng, tending to"
1693,R,trepid,"alarmed, anxious, fearful"
1694,R,"parc, pard, part, parti, port","part, share, division, section, relation, proper degree"
1697,R,"leag(ue), leg, li, li(ais), lict, lieg, lig, loy,  ly","tie, bind, link, send, choose, appoint"
1699,S,ice,"quality of, state of, that which"
1700,R,"vener, venom, venus","worship, revere, honor, goddess of love, love potion, poison"
1701,P,al,"to, toward, near, at"
1702,R,"lev, levat, levit, levi, leav, lief, liev, val","light in weight; to raise, to lift, to remove"
1703,R,"culp, culp(r)","fault, blame, guilt"
1704,P,coun,together
1705,R,ecr,"sacred, holy holy"
1706,S,orous,"possessing, nature of, like, pertaining to"
1707,R,tim,fear
1708,R,"sol, solut, solv","loosen, untie, set free"
1709,R,"add, dat, dic, dit, don, dor, dos, dow","give, gift, grant, decree, place, put, attach to, add"
3901,R,rept,"crawl, creep"
1711,S,ail,"action, process, relating to, that which"
1713,R,"pregn, prehend, prehens, pren, prent, priev, pris, pry","seize, take, reach, grasp, pull, comprehend"
1714,R,"maci, macro, mec, meag","large, stretched thin, long"
1715,R,"ampl, ampl(e), ampl(i)","large, wide"
1716,R,"vad, vas","go, proceed, advance"
1719,R,"pian, plain, plan","flat, calm, clear, straightforward, level"
1720,R,harmon,"harmony, agreement, concord, joining, proportion"
1721,S,a,"state of, that which"
1723,R,"cod, cod(e)","ancient book, book of laws"
1724,R,"mend, mendac","fault, false, defect, lying"
1726,P,ir,"into, in, within; upon, on; towards, against"
1727,R,"rigat, rigat(e)","provide with a supply of water, wet, moisten"
1728,R,"direct, dirig","to make straight, arrange, guide"
1729,R,crisp,curly
1730,R,"gull, guttur","gullet, throat, appetite, swallow"
1731,R,haust,"drain, draw water, drink, draw out"
3782,R,sibil,"to hiss, whistle"
4293,P,au,"at the, to the, with"
1734,P,ap,"to, toward, near, at"
1736,S,el,small
1737,R,rumin,"throat, gullet"
1739,R,"plag(ue), plain, plaint, plankt, plect, pleg, plex","strike, beat, mourn for"
1741,R,"pac, pac(i), pact, peac, peas,  pay","peace, agree, make a bargain"
1742,R,"stig, strain, straint, strait, stress, string, strict","draw tight, tighten, confine, bind"
1743,R,"dress, droit, ert, right, rg, rt","make straight, arrange, guide, direct"
1744,R,"oner, onus","burden, load"
1745,R,ranc,"be rotten, stink"
1748,P,a,"away, from, by, off, out"
1749,S,ally,in the manner of
1750,R,"auct, aug, augur, august, auth, auxil","increase, enhance; venerable, powerful; diviner, seer, creator"
1751,R,"sarc, sarco","flesh, meat, meat"
1752,P,il,"in, into, on, at, upon"
1753,P,an,"to, toward, on"
1754,R,not,"mark, sign, signify, letter, word"
1755,R,"torn, tour, tourn(i), turn","circle, circuit, tool for drawing a circle, turn"
1756,R,"eniz, ent, est, entr, inter, intim, intern, intest, intri(n)","inside, innermost, internal, between, within"
1758,S,end,"that which, one who"
1760,R,"mord, mors, mors(e)","bite, hurt, distress; biting"
1761,R,jubil,raise a shout of joy
1762,R,fess,"confess, admit, acknowledge, speak"
1763,P,sur,"under, up to, towards, close to, in place of"
1765,S,itious,"of the nature of, pertaining to"
1766,R,"pall, palli","cloak, cover"
3131,S,ates,make
1769,R,"dogma, dogmat, dox","opinion, belief, glory"
1770,R,rhetor,public speaker
1772,R,und,"wave, rise in a wave, flood, flow"
3649,R,asyl,sanctuary
1774,R,iron,"dissimulation, assumed ignorance"
1775,R,"sermon, sert, xert","join, connect; string together words"
1777,R,"cop, cop(se), coup","hit, cuff, blow"
3623,S,otic,abnormal condition
1780,R,"sail, sal, sal(l), sault, sil, sult, ult","leap, spring forward, jump, dance"
1781,R,"cumb, cumbr",obstacle
1782,R,"tacit, tic","silent, quiet"
1783,R,stolid,"stupid, brutish, inert"
1784,R,"nec, necro, nic, noc, nox, nuis","harm, offense, death, injury, damage, conflict, corpse"
3722,R,opl(y),"arms, armor"
1786,P,op,"to, toward, against"
1788,P,abs,"away, from, by"
1789,R,"scrupl, scrupul","anxiety; doubt; a small, sharp pebble"
1790,R,"ess, exact, exam, examin, exig","enforce, demand, test, measure out, weigh out"
1791,S,ence,action of
1795,R,"fac, fac(t), fic","face, form, surface"
1796,R,strid,"make harsh sounds, whistle"
1797,R,perme,"pass through, penetrate"
1798,R,innu,to nod to
1799,S,endo,"doing something, act of"
1802,R,fluct(u),"wave, undulating movement"
1803,R,"sperm, spora, sporad","scattered, dispersed, seed, a sowing"
1805,R,"gen, genea, gent, genu, ingenu, jaunt","birth, tribe, family; kindred, honest, festive spirit"
1807,R,"proach, proch(e)","near, come near"
1809,R,ult,"dance, leap"
1810,R,nebul,"mist, cloud"
1811,R,"laud, laudat, low","praise, allot, grant"
1812,R,"lab, laps, laps(e), valanche","slip, fall, descend"
1815,R,"ten, tend, tens, tent, tetan","stretch, extend, hold, strain, move, struggle, tendon"
1816,R,ver,"fear, feel awe"
1817,R,"vic, vicis(s), vic(e)","change, instead of, substitute"
1818,R,"hum, humor","to be moist, be wet"
1820,R,"mass, mess, mis, miss, mit, mitt","put, send, let go, abandon"
1823,R,"cens, cise","assess, judge, rate"
1827,R,"cierg(e), serf, serg(e), serv, servit","wait on, serve, slave"
1832,R,lament,"bewail, weep"
1833,R,lacon,"concise, abrupt"
1834,R,"vir, virtu","man, manliness, excellence of character, courage, strength"
1835,R,"garn, grain, gran, grange, gree, gren, grog","grain, seed"
1836,R,"capit, cattle, cap, cep, chapt, chatt, chef, cip, cipit ","head, summit, source, main, origin, leader, capital"
1838,R,"vic, vitu","flaw, defect, moral failing, criticize harshly"
1839,R,"vendet(t), veng, vindic, vindic(t)","claim, avenger, surety, defender, revenge"
1841,R,mutilat,"maim, cut off, lop off"
1842,R,"sinu, sinu(s)","curve, wind, fold, hollow"
1843,R,"prop, propri","one's own, personal, special, proper, fitting"
1845,S,asm,that which
1846,R,"vel, veal, veil","covering, cover, curtain, woven cloth"
1847,R,uber,"fertile, plentiful"
1848,R,taph,tomb
1849,R,parent,parent
1850,S,age,relationship
1851,R,manifest,"obvious, clearly visible, caught red-handed"
1852,R,"fan, fan(e), feast, fest, fet, fet(e)","temple; a feast, merrymaking, holiday"
1854,R,verber,"beat, strike"
1857,R,strateg,"general, army commander"
1860,R,"sever, sever(e)","grave, strict, austere, stern"
1861,R,pud,"ashamed, modest"
1862,R,"aim, esteem, estimat","fix the value of, estimate, consider"
3793,S,ie,"quality of, state of, that which, act of"
1869,R,"abol, abolit","destroy, disallow, get rid of"
1870,R,tedi,"weariness, irksomeness, ennui"
1871,R,"delic, delect, delight, dilect, dilett, dilig, lac, lasso, lic, lusc","pleasure, delight, please, entice, love, snare, rope, lure"
1872,R,"mal, male, mal(a), mal(ad)","bad, evil, wrong"
1875,S,ability,"state, condition, quality of, able to be"
1878,R,opaqu(e),"not transparent; shaded, shady; dark"
1879,R,dorm,sleep sleep
1880,P,pur,"forth, ahead, forward"
1969,R,labyrint(h),maze
1883,R,"hort, hortat","urge, encourage"
1884,R,"soil, sull, sull(i)","piglet, hog, swine"
1886,S,ibly,manner of able to be
1887,R,"play, pli, plic, plight","fold, bend, twine, coil, enfold, attach"
1890,R,"vestig, vestig(e)",footprint
1891,R,"precar, precat, precat(e)","pray, entreat"
1893,R,"sang, sangr, sanguin","blood, humor"
1894,R,"cip, cipit","head, summit, source, origin, leader, first"
1895,R,ord,"order, row, series"
1896,R,"cov, cup","wish, want, desire, long for"
1897,S,et,"to make, to do"
1898,R,"machin, machin(e), mechan","machine, plan, trick, artifice, device"
1899,R,dul,"deception, guile, trickery"
4112,P,i,"not, without"
1901,P,vari,"diverse, different, numerous, changeable"
1902,S,ite,"to make, do"
2768,R,"veil(l), veget, vigil, vigor","watch, be awake, be alert, give energy, liveliness, activity, strength"
1906,S,it,tending to
1907,R,"quot, quot(i)","as many as, how many?"
1909,R,"devic, devis, devis, divid, divis","separate into parts, divide"
1911,R,liter,pound
1913,S,erty,"state, condition or quality, that which"
1914,R,"frequenc, frequent","crowded, repeated, constant"
1916,S,a,(plural noun)
1927,S,ment,"to, to make; place or object of an  action"
1919,S,er,"state of, that which, one who, result of, pertaining to"
1926,R,"hor, hor(iz)","boundary, bound, divide, mark off"
4276,R,"ben, bene","good, well"
3565,S,ets,small (plural)
1928,R,"burs, purs","bag, purse, treasurer, hide, skin, wineskin"
1929,R,"habit, habitat","dwell, dwelling"
1933,R,"rend, rent, trait, tray, treas, ven, vend","hand over, deliver, give back, set forth, sell, sale"
1935,R,"plen, plent, plethor","full, fullness, abundance, excess"
1943,R,pair,"worse; diminish, weaken; inferior in quality or condition"
3525,S,ishment,"quality of, state of, result of, product of, act of, that which"
1945,S,ish,"to, to do, make"
1947,R,"petit, petit(e)","seek, attack, go for, chase, aim at, beg, request"
4268,S,ane,mixture of
1950,S,ified,made
1951,R,"tech, techn, techno, tect, tecton","skill, art, craft, system, method, builder, worker, craftsman"
1952,S,ique,pertaining to
1953,R,"mnemon, mnes","remember, memory"
1954,R,tard,slow
1955,R,host,enemy
1956,S,ility,state or quality
1957,R,"soci, socio","companion, partner, friend, living with others"
1958,R,"al, al(i)","feed, nourish, cause to grow"
1959,S,esce,action or process
1962,S,odic,"state or process, relating to"
1965,R,karyo,"nut, walnut; kernel; cell, cell nucleus"
1970,R,morb,disease
1971,R,patron,"guardian, protector"
1973,R,"plac, plac(e), plat, plat(e), piaz(z)","flat, broad"
1974,R,pomp,"celebratory procession, ostentation"
1976,R,stimul,"goad, whip, spur"
1977,P,ab,"very, thoroughly"
1978,R,surd,"deaf, dull, mute"
1980,S,ist,quality of
1981,R,drom(e),"a course, running, race"
1982,R,fiss,"cleave, split"
1983,R,facult,"skill, accomplishment, learning"
1984,S,ies,plural
1985,P,sum,"under, below"
1986,R,"mon, monit, mon(s), monstr, monu, must","warn, advise, remind, show, point out, teach; a portent; monster"
1987,S,itudinous,"pertaining to, characterized by"
1989,R,"tamper, temper, temper(a), temperat","regulate, mix properly, exercise moderation, modify"
1990,R,"mulg, vulg","make common, of ordinary people, publish"
1991,S,acle,that which or one who does or receives
1993,S,uble,capable of
1994,R,parri,relative
1995,R,scept,regal staff
1999,R,cre(e),"separate, sift, distinguish, understand, decide"
2000,R,"fam, fam(e)","reputation, rumor, report, public opinion, renown"
2001,R,"frater(n), fratr(i), friar",brother
2002,R,"cest, cest(r)","go, yield, come to an end, move"
2003,P,an,before
2004,R,vill,"farmhouse, rustic"
2005,R,"pain, pen, pent, pine, poena, pun, punit","punishment, fine, penalty, regret, retribution"
2008,R,"par, petr, petri, petro, pier","rock, boulder"
2009,R,stal,"stall, place, seat"
2010,R,libat,to pour an offering
2014,P,ap,"away, from, thoroughly"
2016,R,"judg, judic","judge, one who gives an opinion"
2018,R,"mim, mim(eo)","imitator, mimic, mime"
2019,R,"chol, choler","bile, gall"
2020,R,"osm, trud, trus","thrust, push"
2021,R,"sans, sine","without, not"
2022,R,"cour, cur, proct, prox, sur","care, take care of, care for, care about, supervise, protect, free from care"
2023,R,"peck, piqu, piqu(e)","pierce, prick"
2024,S,ancy,"a, state of being something; act of"
2029,R,"maestr, magistr, mast, mistr","ruler, leader, master, teacher, model"
2030,R,jug,"join, yoke"
4278,S,,
4279,R,emet,"vomiting, throwing up"
2034,R,"sorc, sort","lot, fortune, order, condition, rank, class"
2035,R,"cover, covert, cur, ker","cover, conceal"
2036,R,"des, dom, domes, domes(t)","house, home"
2037,S,icile,"like, pertaining to, characterized by"
2039,R,iota,ninth letter of the Greek alphabet
2043,R,vok(e),"call, call upon, speak, say, voice"
2046,R,"past, pastor","feed, graze, nurture, shepherd"
2048,R,cathar,"purge, purify or cleanse; purification"
2050,R,"tot, total","whole, entire, all"
2053,R,proxim,"nearest, next"
2054,R,satellit,"attendant, member of retinue"
2055,R,"dens, dens(e)","thick, dense, crowded"
2056,R,"col, colon, cult","settler, farmer, inhabit, develop, grow, till, maintain, revere"
2057,S,ured,shows actions or results; state or quality
2058,R,"oss, ost, osteo, ostrac, oyst","bone, shell, potsherd"
